,sofifa_id,short_name,long_name,age,dob
0,20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,33,1985-02-05
1,158023,L. Messi,Lionel Andrés Messi Cuccittini,31,1987-06-24
2,190871,Neymar Jr,Neymar da Silva Santos Junior,26,1992-02-05
3,193080,De Gea,David De Gea Quintana,27,1990-11-07
4,192985,K. De Bruyne,Kevin De Bruyne,27,1991-06-28
5,155862,Sergio Ramos,Sergio Ramos García,32,1986-03-30
6,176580,L. Suárez,Luis Alberto Suárez Díaz,31,1987-01-24
7,177003,L. Modrić,Luka Modrić,32,1985-09-09
8,183277,E. Hazard,Eden Hazard,27,1991-01-07
9,200389,J. Oblak,Jan Oblak,25,1993-01-07
10,192119,T. Courtois,Thibaut Courtois,26,1992-05-11
11,167495,M. Neuer,Manuel Neuer,32,1986-03-27
12,182493,D. Godín,Diego Godín,32,1986-02-16
13,182521,T. Kroos,Toni Kroos,28,1990-01-04
14,188545,R. Lewandowski,Robert Lewandowski,29,1988-08-21
15,211110,P. Dybala,Paulo Bruno Exequiel Dybala,24,1993-11-15
16,192448,M. ter Stegen,Marc-André ter Stegen,26,1992-04-30
17,197781,Isco,Francisco Román Alarcón Suárez,26,1992-04-21
18,202126,H. Kane,Harry Kane,24,1993-07-28
19,194765,A. Griezmann,Antoine Griezmann,27,1991-03-21
20,215914,N. Kanté,N'Golo Kanté,27,1991-03-29
21,138956,G. Chiellini,Giorgio Chiellini,33,1984-08-14
22,153079,S. Agüero,Sergio Leonel Agüero del Castillo,30,1988-06-02
23,168542,David Silva,David Josué Jiménez Silva,32,1986-01-08
24,178603,M. Hummels,Mats  Hummels,29,1988-12-16
25,179813,E. Cavani,Edinson Roberto Cavani Gómez,31,1987-02-14
26,190460,C. Eriksen,Christian  Dannemann Eriksen,26,1992-02-14
27,195864,P. Pogba,Paul Pogba,25,1993-03-15
28,200145,Casemiro,Carlos Henrique Venancio Casimiro,26,1992-02-23
29,189242,Coutinho,Philippe Coutinho Correia,26,1992-06-12
30,198710,J. Rodríguez,James David Rodríguez Rubio,26,1991-07-12
31,209331,M. Salah,Mohamed  Salah Ghaly,26,1992-06-15
32,1179,G. Buffon,Gianluigi Buffon,40,1978-01-28
33,162835,S. Handanovič,Samir Handanovič,33,1984-07-14
34,164240,Thiago Silva,Thiago Emiliano da Silva,33,1984-09-22
35,167664,G. Higuaín,Gonzalo Gerardo Higuaín,30,1987-12-10
36,167948,H. Lloris,Hugo Lloris,31,1986-12-26
37,173731,G. Bale,Gareth Frank Bale,28,1989-07-16
38,176676,Marcelo,Marcelo Vieira da Silva Júnior,30,1988-05-12
39,189511,Sergio Busquets,Sergio Busquets i Burgos,29,1988-07-16
40,198219,L. Insigne,Lorenzo Insigne,27,1991-06-04
41,231747,K. Mbappé,Kylian Mbappé,19,1998-12-20
42,205600,S. Umtiti,Samuel Umtiti,24,1993-11-14
43,201024,K. Koulibaly,Kalidou Koulibaly,27,1991-06-20
44,201399,M. Icardi,Mauro Emanuel Icardi Rivero,25,1993-02-19
45,192505,R. Lukaku,Romelu Lukaku,25,1993-05-13
46,152729,Piqué,Gerard Piqué Bernabéu,31,1987-02-02
47,168651,I. Rakitić,Ivan Rakitić,30,1988-03-10
48,171877,M. Hamšík,Marek Hamšík,30,1987-07-27
49,172871,J. Vertonghen,Jan Vertonghen,31,1987-04-24
50,175943,D. Mertens,Dries Mertens,31,1987-05-06
51,184941,A. Sánchez,Alexis Alejandro Sánchez Sánchez,29,1988-12-19
52,188567,P. Aubameyang,Pierre-Emerick Aubameyang,29,1989-06-18
53,189332,Jordi Alba,Jordi Alba Ramos,29,1989-03-21
54,192387,C. Immobile,Ciro Immobile,28,1990-02-20
55,193041,K. Navas,Keylor Navas,31,1986-12-15
56,222492,L. Sané,Leroy Sané,22,1996-01-11
57,201535,R. Varane,Raphaël Varane,25,1993-04-25
58,210257,Ederson,Ederson Santana de Moraes,24,1993-08-17
59,199556,M. Verratti,Marco Verratti,25,1992-11-05
60,201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,26,1991-10-02
61,184432,Azpilicueta,César Azpilicueta Tanco,28,1989-08-28
62,208722,S. Mané,Sadio Mané,26,1992-04-10
63,135507,Fernandinho,Fernando Luiz Rosa,33,1985-05-04
64,171919,Naldo,Ronaldo  Aparecido Rodrigues,35,1982-09-10
65,176635,M. Özil,Mesut Özil,29,1988-10-15
66,177509,M. Benatia,Medhi Amine El Mouttaqi Benatia,31,1987-04-17
67,180206,M. Pjanić,Miralem Pjanić,28,1990-04-02
68,181458,I. Perišić,Ivan Perišić,29,1989-02-02
69,183907,J. Boateng,Jérôme Boateng,29,1988-09-03
70,184344,L. Bonucci,Leonardo Bonucci,31,1987-05-01
71,189509,Thiago,Thiago Alcântara do Nascimento,27,1991-04-11
72,189513,Parejo,Daniel Parejo Muñoz,29,1989-04-16
73,189596,T. Müller,Thomas Müller,28,1989-09-13
74,190483,Douglas Costa,Douglas Costa de Souza,27,1990-09-14
75,191043,Alex Sandro,Alex Sandro Lobo Silva,27,1991-01-26
76,191202,N. Matić,Nemanja Matić,29,1988-08-01
